sku,imagen
Fbcpk1214,"https://source.unsplash.com/400x400/?Set,X1,Bateria,20v,4amp,+,1,Cargador,Ingco,Fbcpk1214,-smf"
HKSPAR1083,"https://source.unsplash.com/400x400/?Juego,De,8,Llaves,C,Crique,Flexible,Combinadas,Ingco"
33000,"https://source.unsplash.com/400x400/?Atornillador,Drywall,725w,Milwaukee"
802-5210,"https://source.unsplash.com/400x400/?Llave,Combinada,Gedore,26mm"
805-5020,"https://source.unsplash.com/400x400/?Llave,Fija,6e,Gedore,3/8,-,7/16"
HSPP30102,"https://source.unsplash.com/400x400/?Fumigador,Pulverizador,1lt,Hspp30102,Ingco,-,Ff,Color,Amarillo"
WLBP540,"https://source.unsplash.com/400x400/?Bateria,20v,4ah,Wadfow,P20s,Wlbp540"
WCLP556,"https://source.unsplash.com/400x400/?Mini,Motosierra,5,,A,Bateria,20v,Wadfow"
P55450,"https://source.unsplash.com/400x400/?Adhesivo,Vinílico,Cascola,Profesional,250g,Pegamax,G,P"
2919,"https://source.unsplash.com/400x400/?Desmalezadora,,Fs55,,27.2cc,Stihl"
iw1288,"https://source.unsplash.com/400x400/?Mecha,Alta,Velocidad,Hss,Irwin,8.5,Mm"
SJ45,"https://source.unsplash.com/400x400/?Sierra,Caladora,450w,Stanley,"
314100,"https://source.unsplash.com/400x400/?Aerosol,Rust-oleum,Marrón,Claro,Stone,-,430,Ml."
HCH81008,"https://source.unsplash.com/400x400/?Martillo,Carpintero,Mango,De,Fibra,8oz,Ingco,Hch81008"
IW1853,"https://source.unsplash.com/400x400/?Mechas,P/madera,5,Mm.,3,Puntas,Irwin"
IE9200/3/220,"https://source.unsplash.com/400x400/?Soldadora,Neo,Next,20-200amp,Inverter,Electrodo"
262152,"https://source.unsplash.com/400x400/?Aerosol,Blanco,Mate,Ultracover,Rust-oleum,-ferreteria,Armhel"
40332505,"https://source.unsplash.com/400x400/?Organizador,17,Compartimentos,Truper,Color,Negro"
STXH2000,"https://source.unsplash.com/400x400/?Pistola,De,Calor,Stanley,1800w,Stxh2000,Amarillo"
39518,"https://source.unsplash.com/400x400/?Sierra,Ingletadora,Deslizante,10'',1800w,,Einhell"
COSLI240312,"https://source.unsplash.com/400x400/?Set,X,2,Baterias,4,Ah,20v,Cosli240312"
1808172,"https://source.unsplash.com/400x400/?Dado,Terraja,Tres,Triangulos,8.0x1.0mm,C1"
,"https://source.unsplash.com/400x400/?,Macho,Semiconico,1,,X,8,Hilos,(1,Unidad),Tres,Triangulos"
DW00739,"https://source.unsplash.com/400x400/?Mechas,Dewalt,260,X,12mm,Sds,Plus,Pvc,A/s"
KS501,"https://source.unsplash.com/400x400/?Sierra,Caladora,Doméstico,Black+decker,Ks501-b2c,420w"
015-31022,"https://source.unsplash.com/400x400/?Tijera,Podar,Tolsen,8,,Profesional"
IW1240,"https://source.unsplash.com/400x400/?Mecha,Alta,Velocidad,Hss,Irwin,4.5,Mm."
HIPP28250,"https://source.unsplash.com/400x400/?Pinza,Pico,De,Loro,Ingco,10,Mango,Dieléctrico,Aislada,1000v"
CIRLI2017,"https://source.unsplash.com/400x400/?Taladro,Atornillador,Inalambrico,Ion,De,Litio,Ingco,20v,P20s,Color,Amarillo"
